estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR
AMCR,1,15,2874244.2937,-5675803.0624,-451414.5032,0.3260,0.8508,0.0909,
AMCR,1,30,2874244.3901,-5675803.3693,-451414.5258,0.1934,0.4938,0.0446,
AMCR,1,45,2874244.4507,-5675803.3626,-451414.5359,0.1274,0.2586,0.0282,
AMCR,1,60,2874244.4238,-5675803.3328,-451414.5351,0.0727,0.1264,0.0178,
AMCR,1,120,2874244.4336,-5675803.2797,-451414.5355,0.0243,0.0286,0.0071,
AMCR,2,15,2874244.2821,-5675803.2520,-451414.5574,0.3352,0.2984,0.1064,
AMCR,2,30,2874244.4044,-5675803.2443,-451414.5425,0.1425,0.1292,0.0380,
AMCR,2,45,2874244.4690,-5675803.2664,-451414.5462,0.0715,0.0795,0.0232,
AMCR,2,60,2874244.4570,-5675803.2657,-451414.5422,0.0444,0.0612,0.0163,
AMCR,2,120,2874244.4435,-5675803.2711,-451414.5367,0.0186,0.0274,0.0081,
AMCR,3,15,2874244.6379,-5675803.0537,-451414.4930,0.3014,0.3147,0.0864,
AMCR,3,30,2874244.6278,-5675803.0680,-451414.5244,0.1259,0.1447,0.0340,
AMCR,3,45,2874244.6133,-5675803.1225,-451414.5499,0.0661,0.0848,0.0196,
AMCR,3,60,2874244.5742,-5675803.1361,-451414.5566,0.0418,0.0617,0.0135,
AMCR,3,120,2874244.4880,-5675803.2705,-451414.5423,0.0190,0.0244,0.0072,
AMCR,4,15,2874244.3905,-5675803.3964,-451414.5260,0.3381,0.3803,0.1133,
AMCR,4,30,2874244.4409,-5675803.3386,-451414.5426,0.1346,0.1604,0.0462,
AMCR,4,45,2874244.4382,-5675803.3226,-451414.5418,0.0748,0.0974,0.0273,
AMCR,4,60,2874244.4073,-5675803.3085,-451414.5423,0.0550,0.0810,0.0209,
AMCR,4,120,2874244.4202,-5675803.3008,-451414.5419,0.0285,0.0347,0.0129,
AMCR,5,15,2874244.3893,-5675803.2038,-451414.5560,0.3155,0.5036,0.1491,
AMCR,5,30,2874244.5185,-5675803.2526,-451414.5421,0.1260,0.2070,0.0619,
AMCR,5,45,2874244.4526,-5675803.2887,-451414.5521,0.0741,0.1236,0.0349,
AMCR,5,60,2874244.4260,-5675803.2543,-451414.5460,0.0527,0.0877,0.0225,
AMCR,5,120,2874244.4355,-5675803.2646,-451414.5380,0.0236,0.0316,0.0089,
AMCR,6,15,2874244.4405,-5675803.1583,-451414.5410,0.3057,0.4495,0.0880,
AMCR,6,30,2874244.4280,-5675803.3884,-451414.5376,0.1192,0.1821,0.0351,
AMCR,6,45,2874244.4477,-5675803.2924,-451414.5340,0.0702,0.1161,0.0210,
AMCR,6,60,2874244.4573,-5675803.2766,-451414.5305,0.0545,0.0783,0.0151,
AMCR,6,120,2874244.4551,-5675803.3083,-451414.5319,0.0292,0.0297,0.0081,
AMCR,7,15,2874244.4210,-5675803.2842,-451414.5401,0.3180,0.3416,0.1103,
AMCR,7,30,2874244.3995,-5675803.3856,-451414.5403,0.1258,0.1421,0.0437,
AMCR,7,45,2874244.4293,-5675803.3596,-451414.5275,0.0730,0.0932,0.0262,
AMCR,7,60,2874244.4389,-5675803.3343,-451414.5320,0.0508,0.0663,0.0194,
AMCR,7,120,2874244.4693,-5675803.2884,-451414.5406,0.0247,0.0287,0.0113,
AMCR,8,15,2874244.4305,-5675803.2894,-451414.5630,0.2925,0.3527,0.1284,
AMCR,8,30,2874244.4485,-5675803.2961,-451414.5628,0.1040,0.1422,0.0495,
AMCR,8,45,2874244.4956,-5675803.2783,-451414.5553,0.0561,0.0993,0.0277,
AMCR,8,60,2874244.4931,-5675803.3412,-451414.5711,0.0407,0.0759,0.0186,
AMCR,8,120,2874244.5214,-5675803.3923,-451414.5611,0.0229,0.0354,0.0080,
AMCR,9,15,2874244.3712,-5675803.4725,-451414.5260,0.3081,0.4743,0.0960,
AMCR,9,30,2874244.4021,-5675803.3421,-451414.5240,0.1126,0.1604,0.0377,
AMCR,9,45,2874244.4629,-5675803.2780,-451414.5255,0.0639,0.0834,0.0225,
AMCR,9,60,2874244.4632,-5675803.2785,-451414.5315,0.0427,0.0539,0.0163,
AMCR,9,120,2874244.4524,-5675803.2812,-451414.5400,0.0195,0.0233,0.0078,
AMCR,10,15,2874244.3384,-5675803.4142,-451414.5879,0.2657,0.2779,0.0881,
AMCR,10,30,2874244.3538,-5675803.2994,-451414.5302,0.0996,0.1249,0.0350,
AMCR,10,45,2874244.3880,-5675803.2973,-451414.5403,0.0578,0.0740,0.0211,
AMCR,10,60,2874244.4216,-5675803.2943,-451414.5453,0.0404,0.0487,0.0150,
AMCR,10,120,2874244.4328,-5675803.2930,-451414.5390,0.0204,0.0233,0.0072,
AMCR,11,15,2874244.4333,-5675803.2766,-451414.5544,0.2942,0.3035,0.0959,
AMCR,11,30,2874244.3960,-5675803.2302,-451414.5326,0.1085,0.1345,0.0384,
AMCR,11,45,2874244.4254,-5675803.2618,-451414.5425,0.0620,0.0768,0.0234,
AMCR,11,60,2874244.4244,-5675803.2691,-451414.5443,0.0433,0.0510,0.0172,
AMCR,11,120,2874244.4271,-5675803.2697,-451414.5377,0.0212,0.0253,0.0090,
AMCR,12,15,2874244.3961,-5675803.3488,-451414.5649,0.3671,0.4154,0.1531,
AMCR,12,30,2874244.4352,-5675803.2758,-451414.5561,0.1365,0.1772,0.0601,
AMCR,12,45,2874244.4512,-5675803.2490,-451414.5552,0.0790,0.0967,0.0366,
AMCR,12,60,2874244.4427,-5675803.2619,-451414.5497,0.0550,0.0626,0.0276,
AMCR,12,120,2874244.4149,-5675803.2764,-451414.5360,0.0255,0.0268,0.0123,
AMCR,13,15,2874244.5313,-5675803.1603,-451414.5178,0.2952,0.3983,0.1232,
AMCR,13,30,2874244.4733,-5675803.2208,-451414.5340,0.1148,0.1562,0.0463,
AMCR,13,45,2874244.4566,-5675803.2572,-451414.5297,0.0699,0.0996,0.0282,
AMCR,13,60,2874244.4355,-5675803.2689,-451414.5260,0.0505,0.0744,0.0206,
AMCR,13,120,2874244.4183,-5675803.2789,-451414.5339,0.0253,0.0396,0.0081,
AMCR,14,15,2874244.6187,-5675803.0177,-451414.4767,0.3511,0.3899,0.1078,
AMCR,14,30,2874244.4719,-5675803.2329,-451414.5264,0.1368,0.2132,0.0527,
AMCR,14,45,2874244.4491,-5675803.2477,-451414.5290,0.0873,0.1397,0.0385,
AMCR,14,60,2874244.4431,-5675803.2781,-451414.5336,0.0675,0.1092,0.0353,
AMCR,14,120,2874244.4170,-5675803.3248,-451414.5394,0.0365,0.0431,0.0139,
AMCR,15,15,2874244.5185,-5675803.0971,-451414.5504,0.4018,0.5326,0.1748,
AMCR,15,30,2874244.5201,-5675803.2596,-451414.5524,0.1507,0.2066,0.0700,
AMCR,15,45,2874244.4560,-5675803.2872,-451414.5437,0.0883,0.1150,0.0462,
AMCR,15,60,2874244.4280,-5675803.3228,-451414.5490,0.0675,0.0772,0.0391,
AMCR,15,120,2874244.4535,-5675803.2837,-451414.5320,0.0375,0.0362,0.0136,
AMCR,16,15,2874244.4358,-5675803.3049,-451414.5309,0.3761,0.5329,0.1549,
AMCR,16,30,2874244.4807,-5675803.2560,-451414.5378,0.1528,0.2251,0.0594,
AMCR,16,45,2874244.4806,-5675803.2561,-451414.5378,0.1528,0.2251,0.0594,
AMCR,16,60,2874244.4768,-5675803.2506,-451414.5361,0.1300,0.1899,0.0525,
AMCR,16,120,2874244.4163,-5675803.2609,-451414.5331,0.0417,0.0435,0.0120,
AMCR,17,15,2874244.4293,-5675803.2647,-451414.5406,0.2875,0.2840,0.1057,
AMCR,17,30,2874244.4154,-5675803.2695,-451414.5382,0.1134,0.1149,0.0466,
AMCR,17,45,2874244.3932,-5675803.3220,-451414.5481,0.0717,0.0698,0.0299,
AMCR,17,60,2874244.4106,-5675803.3128,-451414.5424,0.0526,0.0506,0.0226,
AMCR,17,120,2874244.4177,-5675803.2976,-451414.5369,0.0232,0.0232,0.0083,
