estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,195,60,2874244.4198,-5675803.2393,-451414.5171,0.0503,0.0461,0.0150,,-0.2400,0.3286,-0.1593
AMCR,195,120,2874244.3952,-5675803.2285,-451414.5174,0.0221,0.0223,0.0065,,-0.5519,0.1918,0.0716
AMCR,196,15,2874244.3043,-5675803.2585,-451414.5097,0.3330,0.3353,0.0884,,0.2349,-0.0892,-0.4986
AMCR,196,30,2874244.4694,-5675803.1967,-451414.5278,0.1260,0.1253,0.0321,,0.0075,0.0207,-0.3490
AMCR,196,45,2874244.4563,-5675803.2238,-451414.5232,0.0688,0.0614,0.0184,,-0.0112,0.0670,-0.2535
AMCR,196,60,2874244.4587,-5675803.2326,-451414.5184,0.0444,0.0418,0.0133,,-0.0731,0.0759,-0.0417
AMCR,196,120,2874244.4083,-5675803.2449,-451414.5221,0.0194,0.0237,0.0062,,-0.4958,0.0093,0.2821
AMCR,197,15,2874244.2913,-5675803.2455,-451414.5299,0.2670,0.2853,0.0816,,0.0939,0.0096,-0.3299
AMCR,197,30,2874244.4643,-5675803.2339,-451414.5239,0.1034,0.1038,0.0308,,-0.0079,0.1122,-0.3085
AMCR,197,45,2874244.4398,-5675803.2752,-451414.5160,0.0597,0.0533,0.0179,,-0.0101,0.1681,-0.2082
AMCR,197,60,2874244.4546,-5675803.2698,-451414.5147,0.0411,0.0381,0.0130,,-0.0811,0.1882,-0.0183
AMCR,197,120,2874244.4168,-5675803.2612,-451414.5184,0.0189,0.0180,0.0057,,-0.4302,0.2132,0.0428
AMCR,198,15,2874244.3828,-5675803.1918,-451414.5278,0.3666,0.3492,0.0996,,0.3658,-0.1882,-0.5708
AMCR,198,30,2874244.4219,-5675803.2247,-451414.5166,0.1304,0.1112,0.0348,,0.2411,-0.0586,-0.4637
AMCR,198,45,2874244.4206,-5675803.2463,-451414.5168,0.0706,0.0601,0.0201,,0.1931,0.0021,-0.2828
AMCR,198,60,2874244.4537,-5675803.2357,-451414.5213,0.0452,0.0445,0.0152,,0.1789,-0.0340,-0.1775
AMCR,198,120,2874244.4111,-5675803.2726,-451414.5199,0.0176,0.0200,0.0071,,-0.1293,0.1373,-0.1513
AMCR,199,15,2874244.4344,-5675803.0368,-451414.5549,0.3014,0.2976,0.1133,,-0.0599,0.1451,-0.4741
AMCR,199,30,2874244.4372,-5675803.2275,-451414.5277,0.1202,0.1048,0.0442,,-0.1092,0.2158,-0.3828
AMCR,199,45,2874244.4628,-5675803.2631,-451414.5107,0.0680,0.0579,0.0279,,-0.0406,0.2606,-0.1277
AMCR,199,60,2874244.4419,-5675803.2857,-451414.5106,0.0437,0.0398,0.0218,,-0.0093,0.2350,0.1318
AMCR,199,120,2874244.4155,-5675803.2899,-451414.5162,0.0171,0.0168,0.0083,,-0.2411,0.0480,0.1368
AMCR,200,15,2874244.4441,-5675803.1439,-451414.5361,0.3149,0.2993,0.0949,,0.0156,0.0330,-0.3467
AMCR,200,30,2874244.3227,-5675803.2695,-451414.5313,0.1165,0.1090,0.0366,,-0.0068,0.1481,-0.2621
AMCR,200,45,2874244.4051,-5675803.2433,-451414.5294,0.0648,0.0640,0.0222,,0.0193,0.1759,-0.0239
AMCR,200,60,2874244.4278,-5675803.2370,-451414.5373,0.0428,0.0442,0.0159,,0.0229,0.1713,0.1373
AMCR,200,120,2874244.4019,-5675803.2594,-451414.5298,0.0197,0.0197,0.0073,,-0.2329,0.2206,0.1294
AMCR,201,15,2874244.3434,-5675803.2149,-451414.5316,0.3756,0.3148,0.1037,,-0.1259,-0.0476,-0.2668
AMCR,201,30,2874244.3636,-5675803.2955,-451414.5115,0.1569,0.1221,0.0392,,-0.3054,0.0765,-0.1555
AMCR,201,45,2874244.3826,-5675803.2407,-451414.5106,0.0992,0.0780,0.0231,,-0.4139,0.1173,0.0463
AMCR,201,60,2874244.4121,-5675803.2549,-451414.5134,0.0715,0.0562,0.0158,,-0.4870,0.1600,0.0988
AMCR,201,120,2874244.4222,-5675803.2756,-451414.5234,0.0239,0.0243,0.0072,,-0.5249,0.1661,0.2217
AMCR,202,15,2874244.2076,-5675803.2304,-451414.5709,0.3596,0.2572,0.0972,,-0.0364,0.1925,-0.3775
AMCR,202,30,2874244.3369,-5675803.2610,-451414.5379,0.1536,0.0973,0.0386,,-0.2141,0.3354,-0.2635
AMCR,202,45,2874244.3673,-5675803.2574,-451414.5351,0.0933,0.0617,0.0230,,-0.3534,0.3476,-0.1011
AMCR,202,60,2874244.3608,-5675803.2462,-451414.5327,0.0649,0.0431,0.0156,,-0.4518,0.3650,-0.0998
AMCR,202,120,2874244.3980,-5675803.2766,-451414.5299,0.0236,0.0211,0.0072,,-0.4614,0.2292,0.1888
AMCR,203,15,2874244.3156,-5675803.1650,-451414.5027,0.2767,0.2335,0.0941,,0.1004,0.1049,-0.0592
AMCR,203,30,2874244.4036,-5675803.2203,-451414.5159,0.1050,0.0944,0.0384,,0.0424,0.2106,0.1217
AMCR,203,45,2874244.3885,-5675803.2546,-451414.5255,0.0610,0.0581,0.0231,,0.0593,0.2471,0.1891
AMCR,203,60,2874244.4031,-5675803.2390,-451414.5186,0.0417,0.0393,0.0157,,0.0178,0.3071,0.1236
AMCR,203,120,2874244.4109,-5675803.2717,-451414.5194,0.0193,0.0192,0.0073,,-0.3863,0.2992,0.0414
AMCR,204,15,2874244.3755,-5675803.3703,-451414.5190,0.3118,0.2380,0.0835,,-0.0560,0.0322,-0.1640
AMCR,204,30,2874244.4993,-5675803.3679,-451414.5515,0.1114,0.0976,0.0360,,-0.0916,0.0763,0.1360
AMCR,204,45,2874244.4560,-5675803.3091,-451414.5427,0.0614,0.0541,0.0214,,-0.0927,0.1602,0.1716
AMCR,204,60,2874244.4216,-5675803.2953,-451414.5491,0.0418,0.0355,0.0147,,-0.1251,0.2478,0.1372
AMCR,204,120,2874244.4222,-5675803.2950,-451414.5345,0.0195,0.0186,0.0070,,-0.3974,0.2642,0.1420
AMCR,205,15,2874244.3201,-5675803.1928,-451414.5224,0.3677,0.2235,0.0938,,-0.0757,0.2778,-0.2310
AMCR,205,30,2874244.4534,-5675803.2428,-451414.5255,0.1221,0.0941,0.0386,,-0.0604,0.2539,0.1103
AMCR,205,45,2874244.4091,-5675803.2559,-451414.5330,0.0667,0.0514,0.0225,,-0.0551,0.3063,0.1390
AMCR,205,60,2874244.3988,-5675803.2524,-451414.5353,0.0455,0.0347,0.0155,,-0.1227,0.3526,0.1119
AMCR,205,120,2874244.3994,-5675803.2757,-451414.5342,0.0201,0.0190,0.0071,,-0.4238,0.2355,0.1485
AMCR,206,15,2874244.4410,-5675803.1442,-451414.5603,0.2792,0.2415,0.0959,,0.1220,0.0082,-0.0277
AMCR,206,30,2874244.4121,-5675803.2516,-451414.5378,0.1052,0.1022,0.0405,,0.0089,0.1183,0.1271
AMCR,206,45,2874244.4009,-5675803.2546,-451414.5366,0.0614,0.0568,0.0236,,-0.0119,0.2461,0.0720
AMCR,206,60,2874244.3999,-5675803.2655,-451414.5346,0.0440,0.0422,0.0164,,-0.0907,0.3651,0.0120
AMCR,206,120,2874244.4171,-5675803.2676,-451414.5277,0.0196,0.0195,0.0075,,-0.3533,0.2529,0.1423
AMCR,207,15,2874244.3875,-5675803.1204,-451414.5154,0.2943,0.2434,0.1050,,0.1615,0.0374,0.0989
AMCR,207,30,2874244.4147,-5675803.2582,-451414.5473,0.1125,0.0911,0.0420,,0.0958,0.2142,0.1764
AMCR,207,45,2874244.4039,-5675803.2797,-451414.5405,0.0665,0.0505,0.0246,,0.0253,0.3387,0.1359
AMCR,207,60,2874244.4135,-5675803.2738,-451414.5347,0.0484,0.0357,0.0173,,-0.1055,0.4174,0.0851
AMCR,207,120,2874244.4268,-5675803.2731,-451414.5233,0.0205,0.0202,0.0080,,-0.4106,0.1859,0.1864
AMCR,208,15,2874244.3774,-5675803.0632,-451414.5049,0.2865,0.2529,0.1033,,0.1128,0.1617,0.1616
AMCR,208,30,2874244.3774,-5675803.2058,-451414.5357,0.1114,0.1024,0.0421,,0.0216,0.2830,0.1434
AMCR,208,45,2874244.3849,-5675803.2373,-451414.5358,0.0666,0.0608,0.0252,,-0.0428,0.4037,0.0718
AMCR,208,60,2874244.3904,-5675803.2491,-451414.5322,0.0498,0.0454,0.0184,,-0.1754,0.4720,0.0217
AMCR,208,120,2874244.4061,-5675803.2487,-451414.5235,0.0253,0.0224,0.0086,,-0.3676,0.3780,0.1102
AMCR,209,15,2874244.1518,-5675803.0740,-451414.4971,0.3427,0.3589,0.1122,,-0.2559,0.0770,0.1321
AMCR,209,30,2874244.2850,-5675803.1638,-451414.5390,0.1423,0.1546,0.0447,,-0.4294,0.1274,0.1954
AMCR,209,45,2874244.3437,-5675803.1931,-451414.5397,0.0847,0.0869,0.0260,,-0.4632,0.2607,0.1284
AMCR,209,60,2874244.3631,-5675803.2194,-451414.5370,0.0614,0.0601,0.0188,,-0.4983,0.3416,0.0885
AMCR,209,120,2874244.3969,-5675803.2650,-451414.5290,0.0267,0.0293,0.0089,,-0.4878,0.1310,0.3226
AMCR,210,15,2874244.1792,-5675803.1544,-451414.5132,0.3921,0.3391,0.1234,,-0.1720,0.3261,0.1929
AMCR,210,30,2874244.1781,-5675803.2344,-451414.5595,0.1604,0.1460,0.0480,,-0.3886,0.3355,0.1820
AMCR,210,45,2874244.2516,-5675803.2654,-451414.5494,0.0985,0.0869,0.0275,,-0.5166,0.3900,0.0730
AMCR,210,60,2874244.3337,-5675803.2546,-451414.5297,0.0686,0.0593,0.0196,,-0.5607,0.4284,0.0222
AMCR,210,120,2874244.4181,-5675803.2611,-451414.5189,0.0244,0.0275,0.0086,,-0.6391,0.0375,0.1977
AMCR,211,15,2874244.3181,-5675803.0272,-451414.5031,0.3536,0.3083,0.1111,,-0.2904,0.2693,0.1508
AMCR,211,30,2874244.3379,-5675803.1394,-451414.5135,0.1515,0.1299,0.0434,,-0.4934,0.3586,0.0001
AMCR,211,45,2874244.3796,-5675803.2195,-451414.5251,0.0953,0.0817,0.0267,,-0.5934,0.4194,-0.0743
AMCR,211,60,2874244.3940,-5675803.2413,-451414.5243,0.0619,0.0557,0.0193,,-0.5766,0.3952,-0.0189
AMCR,211,120,2874244.4244,-5675803.2930,-451414.5243,0.0199,0.0206,0.0074,,-0.4330,-0.1028,0.2908
