estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,11,15,2874244.4333,-5675803.2766,-451414.5544,0.2942,0.3035,0.0959,,0.4712,0.1536,0.4758
AMCR,11,30,2874244.3960,-5675803.2302,-451414.5326,0.1085,0.1345,0.0384,,0.4837,0.2380,0.5243
AMCR,11,45,2874244.4254,-5675803.2618,-451414.5425,0.0620,0.0768,0.0234,,0.5262,0.2988,0.6046
AMCR,11,60,2874244.4244,-5675803.2691,-451414.5443,0.0433,0.0510,0.0172,,0.4477,0.3141,0.6293
AMCR,11,120,2874244.4271,-5675803.2697,-451414.5377,0.0212,0.0253,0.0090,,0.1821,0.2238,0.5806
AMCR,12,15,2874244.3961,-5675803.3488,-451414.5649,0.3671,0.4154,0.1531,,0.5863,0.3356,0.5383
AMCR,12,30,2874244.4352,-5675803.2758,-451414.5561,0.1365,0.1772,0.0601,,0.6668,0.4336,0.5593
AMCR,12,45,2874244.4512,-5675803.2490,-451414.5552,0.0790,0.0967,0.0366,,0.6879,0.4799,0.6106
AMCR,12,60,2874244.4427,-5675803.2619,-451414.5497,0.0550,0.0626,0.0276,,0.6233,0.5053,0.6311
AMCR,12,120,2874244.4149,-5675803.2764,-451414.5360,0.0255,0.0268,0.0123,,0.2641,0.4453,0.4232
AMCR,13,15,2874244.5313,-5675803.1603,-451414.5178,0.2952,0.3983,0.1232,,0.5200,-0.0205,0.2577
AMCR,13,30,2874244.4733,-5675803.2208,-451414.5340,0.1148,0.1562,0.0463,,0.4576,0.0814,0.2500
AMCR,13,45,2874244.4566,-5675803.2572,-451414.5297,0.0699,0.0996,0.0282,,0.3997,0.1775,0.2907
AMCR,13,60,2874244.4355,-5675803.2689,-451414.5260,0.0505,0.0744,0.0206,,0.3841,0.1416,0.3181
AMCR,13,120,2874244.4183,-5675803.2789,-451414.5339,0.0253,0.0396,0.0081,,0.3839,0.0970,0.2971
AMCR,14,15,2874244.6187,-5675803.0177,-451414.4767,0.3511,0.3899,0.1078,,0.2055,0.2532,0.2946
